Source,Production_Consumption,Continent,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Coal,Production,Africa,        Zimbabwe,0.06838806,0.0611243,0.064064393,0.064558527,0.067152727,0.076689501,0.088622823,0.120148532,0.115824865,0.118394359,0.13598534,0.138752483,0.137072432,0.130574586,0.135120607,0.114712924,0.108980984,0.098950088,0.102853737,0.114292911,0.108709211,0.102409018,0.097887703,0.087708568,0.080074216,0.089487446,0.086399116,0.083261373,0.062730156,0.041193379,0.061771538,0.063300879,0.0393725,0.076941414,0.142764675,0.107103684,0.066715196,0.072282824,0.082639062,0.064852495,0.066800888,0.079965855
Coal,Production,Asia & Oceania,        Afghanistan,0.002355286,0.00247404,0.002869886,0.002869886,0.002929263,0.00298864,0.003166771,0.003305317,0.00273134,0.002513624,0.002078193,0.001860478,0.000158339,0.000138546,0.000118754,9.90E-05,5.94E-05,3.96E-05,3.96E-05,1.98E-05,1.98E-05,0.0005146,0.000415639,0.000692731,0.000672939,0.000653146,0.000692731,0.004809533,0.006867934,0.009896159,0.014349431,0.029292594,0.024542444,0.026660219,0.030032826,0.027016481,0.033607314,0.043364915,0.048392158,0.042335716,0.001128161,0.03195941
Coal,Production,Asia & Oceania,        American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        Australia,2.374452858,2.699360224,2.733467786,3.041359368,3.244336768,3.497189795,3.765758866,4.247154444,3.917605372,4.17786462,4.388971136,4.724193839,4.915326354,4.925553313,4.86792392,5.248519105,5.337422237,5.705907468,6.144159356,6.228669732,6.627498469,7.170442351,7.409520894,7.393844208,7.612751574,8.10722671,8.200640474,8.647165318,8.693196849,9.000658537,9.954671594,9.471213342,9.930930249,10.7738122,11.58072908,12.09463795,11.81982682,11.80927495,11.59034777,12.16039616,11.88807402,11.06245749
Coal,Production,Asia & Oceania,        Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000466036,0.001348816,0.003716265,0.006326001,0.008100622,0.014134333,0.017286895,0.014718914,0.013925554,0.01743304,0.017850598,0.019771364,0.014113455,0.021337206,0.024239233,0.019270294,0.019548666,0.021211938,0.021951944
Coal,Production,Asia & Oceania,        Bhutan,8.29E-07,1.49E-06,2.16E-06,2.82E-06,6.64E-06,6.67E-06,1.33E-05,3.04E-05,3.05E-05,3.66E-05,4.28E-05,4.90E-05,5.27E-05,0.000763038,0.001061618,0.001050559,0.001061618,0.00089574,0.00102262,0.0011495,0.00127638,0.001219357,0.001216228,0.001100168,0.001243922,0.001414589,0.001517044,0.001425717,0.001388463,0.001302887,0.001456639,0.001640598,0.001637728,0.0012896,0.00135839,0.001412681,0.001953708,0.00268722,0.003101914,0.003068739,0.002609357,0.003085327
Coal,Production,Asia & Oceania,        Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        Burma,0.000919841,0.001355556,0.001621825,0.001718651,0.002105952,0.002081746,0.002372222,0.00179127,0.001573413,0.001573413,0.001670238,0.001815476,0.001767063,0.001842156,0.001665711,0.0018004,0.001665711,0.001532907,0.001622071,0.003205648,0.012281902,0.014474452,0.011776626,0.009519865,0.007148426,0.00640109,0.010925132,0.009438765,0.007598743,0.007249817,0.014426456,0.01445676,0.016185795,0.014698076,0.01406791,0.011395495,0.018311612,0.023740439,0.034947755,0.042935611,0.047134384,0.056466174
Coal,Production,Asia & Oceania,        Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        China,13.81130502,13.84448921,14.83979224,15.91349014,17.57715396,19.42678289,19.91140571,20.66974243,21.82294876,23.47725866,24.03738108,24.148292,24.82244333,25.64269418,27.38297117,28.77871163,30.39936963,29.51522251,29.01554431,28.60399352,30.8275079,32.77272272,34.5293402,40.8654729,47.27317869,52.67473881,57.2311053,61.4662069,64.66244859,69.38280715,76.35577933,83.83864714,87.86290244,88.51308685,87.6313328,85.45220872,78.16571766,80.52921158,84.24842527,87.63471318,88.8529844,93.96390338
Coal,Production,Asia & Oceania,        Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        Hawaiian Trade Zone,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Coal,Production,Asia & Oceania,        Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        India,1.873128816,2.044708332,2.177431649,2.289212238,2.492878943,2.587637293,2.860109017,3.07695525,3.354989737,3.453995179,3.699748905,4.011472962,4.170072428,4.276994743,4.419980273,4.695284368,4.965426296,5.152071297,5.183796243,5.223637444,5.396460191,5.641349736,5.879179914,6.240941446,6.619591702,7.026395163,7.424432598,7.887317831,8.102917391,8.185609487,8.618542867,8.787015946,9.087337591,9.283560737,9.79666376,10.32818759,11.08192467,11.25960329,12.03306657,12.33618563,12.16119423,12.81901373
Coal,Production,Asia & Oceania,        Indonesia,0.012117192,0.014688189,0.012603599,0.013968718,0.03170006,0.051115059,0.081476106,0.097873241,0.128545949,0.18422278,0.245376114,0.324490289,0.450756048,0.610832013,0.674824758,0.878799775,1.111205083,1.238477459,1.452450584,1.754209514,1.774649937,2.162660352,2.356503345,2.674495073,3.238776725,3.776880077,4.728846195,5.46114091,5.846681193,6.135425038,7.345464116,7.194681653,7.822300566,9.652006588,9.404577444,9.51441787,9.271160011,9.26126574,11.01080556,12.17761271,11.1055538,12.09572478
Coal,Production,Asia & Oceania,        Japan,0.465941952,0.455732332,0.452465677,0.438365215,0.427461525,0.419662588,0.410052371,0.332346552,0.285433581,0.25907006,0.201922056,0.200682028,0.192356128,0.182359987,0.170617684,0.159862342,0.156041032,0.100467547,0.093609435,0.093356368,0.07500902,0.071415471,0.032519093,0.034290561,0.032190106,0.031608052,0.034189334,0.032392559,0.032645626,0.030519865,0.028976157,0.030241491,0.031557439,0.031658665,0.033354213,0.032012959,0.032595013,0.033604674,0.024387523,0.019615618,0.019988993,0.017074751
Coal,Production,Asia & Oceania,        Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        Laos,0,0,0,0,0,0,0,0,0,0,7.24E-05,0.000120664,0.000217196,0.00033786,0.000458525,0.000555057,0.001145342,0.002067928,0.003322061,0.004438571,0.004833186,0.005214725,0.005635944,0.006196322,0.007377041,0.007891336,0.008636365,0.009769574,0.010854686,0.012211835,0.015986211,0.018369579,0.020392415,0.022802639,0.025204315,0.100392,0.276447659,0.283467147,0.335059594,0.322172377,0.307300335,0.300820713
